Note,SECTOR,RAD DIST,ANGLE (RAD),DIAMETER,SECTOR DENSITY,angleadjusted,radnorm,xc,yc,radcol,,radmax,447.7019098
1,4,341.4395993,6.088661652,90,0.010845,4.48295874,0.762649414,-0.173443812,-0.742665048,18,,diameter_scale,5
2,4,256.2674384,5.186507411,24,0.010845,3.580804499,0.5724064,-0.518077642,-0.243402226,4.8,,startangle,-1.605702912
3,3,234.1324412,4.810782665,34,0.00924,3.205079753,0.522965027,-0.521911446,-0.033179233,6.8,,,
4,3,242.1012185,4.683471424,26,0.00924,3.077768512,0.540764319,-0.539663286,0.034490391,5.2,,,
5,2,97.25224933,3.213632719,92,0.01482,1.607929807,0.217225451,-0.008064483,0.217075703,18.4,,,
6,3,234.6763729,4.592790821,26,0.00924,2.987087909,0.524179968,-0.517935867,0.080666455,5.2,,,
7,3,347.0057636,4.718152605,36,0.00924,3.112449693,0.775082161,-0.774753041,0.022584991,7.2,,,
8,3,346.3899537,4.622774571,34,0.00924,3.017071659,0.77370667,-0.767716071,0.096093944,6.8,,,
9,3,415.4635965,4.535764748,22,0.00924,2.930061836,0.927991566,-0.907307242,0.194838178,4.4,,,
10,3,289.6135356,4.454010784,22,0.00924,2.848307872,0.646889212,-0.619266665,0.18701457,4.4,,,
11,3,434.8160531,4.394274774,14,0.00924,2.788571862,0.971217776,-0.911325306,0.335782897,2.8,,,
12,3,378.5353352,4.216837307,22,0.00924,2.611134395,0.845507528,-0.729313923,0.427766505,4.4,,,
13,3,259.8807419,4.129722505,28,0.00924,2.524019593,0.58047718,-0.473255031,0.336130081,5.6,,,
14,2,282.0726857,3.381412291,36,0.01482,1.775709379,0.63004575,-0.12820299,0.616864362,7.2,,,
15,2,318.7098994,3.37591723,32,0.01482,1.770214318,0.711879696,-0.141022578,0.697771692,6.4,,,
16,2,386.4000518,3.673579154,28,0.01482,2.067876242,0.863074388,-0.411566415,0.758624074,5.6,,,
17,1,89,1.570796327,54,0.019385,-0.034906585,0.198792987,0.198671888,-0.006937775,10.8,,,
18,1,111.0855526,1.978052175,26,0.019385,0.372349263,0.248123919,0.231121288,0.090268652,5.2,,,
19,1,150.119952,1.610775014,22,0.019385,0.005072102,0.335312289,0.335307975,0.001700731,4.4,,,
20,1,201.3181562,1.685293354,66,0.019385,0.079590442,0.449670086,0.448246589,0.035751667,13.2,,,
21,1,260.4150533,2.203545162,24,0.019385,0.59784225,0.581670633,0.480781054,0.327399303,4.8,,,
22,1,332.710084,2.107092139,64,0.019385,0.501389227,0.743150915,0.651680693,0.357191205,12.8,,,
23,0,160.0124995,0.317798006,30,0.003495,-1.287904906,0.35740857,0.099764636,-0.343202424,6,,,
24,0,204.6191584,0.657185494,22,0.003495,-0.948517418,0.4570433,0.26640524,-0.371371547,4.4,,,
25,0,338.4567919,0.908975755,28,0.003495,-0.696727157,0.755986929,0.579801537,-0.485125153,5.6,,,
26,1,269.5199436,1.304218863,16,0.019385,-0.301484049,0.602007581,0.574855155,-0.178758714,3.2,,,
27,1,179.270745,1.305522751,12,0.019385,-0.300180161,0.400424347,0.382518665,-0.118402403,2.4,,,
28,1,208.434642,1.268770073,12,0.019385,-0.336932839,0.465565675,0.439388355,-0.153913194,2.4,,,
29,1,342.042395,1.283259983,12,0.019385,-0.322442929,0.763995836,0.724622641,-0.242098465,2.4,,,
30,1,256.9435736,1.485069451,10,0.019385,-0.120633461,0.573916635,0.569745755,-0.069065753,2,,,
31,1,332.8453094,1.465447616,12,0.019385,-0.140255296,0.743452959,0.736152503,-0.103931681,2.4,,,
32,1,363.8598631,1.502034382,10,0.019385,-0.10366853,0.812727967,0.808364617,-0.084103479,2,,,
33,1,257.8565493,1.489265399,12,0.019385,-0.116437513,0.575955884,0.572055976,-0.066911437,2.4,,,
34,1,333.7364229,1.468742467,12,0.019385,-0.136960445,0.745443376,0.738462724,-0.101777366,2.4,,,
35,1,353.543491,1.477319546,12,0.019385,-0.128383366,0.789685019,0.783186044,-0.101104148,2.4,,,
36,1,245.7356303,1.648192438,14,0.019385,0.042489526,0.548882247,0.548386857,0.02331473,2.8,,,
37,1,447.7019098,1.483574242,10,0.019385,-0.12212867,1,0.992551559,-0.121825296,2,,,
38,1,301.3469761,1.740854948,12,0.019385,0.135152036,0.673097366,0.666959295,0.090693787,2.4,,,
39,1,348.0804505,1.680184513,12,0.019385,0.074481601,0.777482613,0.775327064,0.057854624,2.4,,,
40,1,402.4027833,1.615542558,16,0.019385,0.009839646,0.898818554,0.898775043,0.008843914,3.2,,,
41,1,392.5315274,1.870793665,10,0.019385,0.265090753,0.87676983,0.846143145,0.229710936,2,,,
42,2,176.2384748,2.657643266,12,0.01482,1.051940354,0.39365138,0.195206604,0.341841763,2.4,,,
43,2,255.4310083,3.035691125,12,0.01482,1.429988213,0.570538125,0.08007119,0.564891456,2.4,,,
44,0,392.9707368,0.864654179,14,0.003495,-0.741048733,0.877750861,0.647570357,-0.592536249,2.8,,,
45,0,238.3149177,0.612444766,12,0.003495,-0.993258146,0.532307128,0.290620028,-0.445971835,2.4,,,
46,0,238.1449139,0.30714336,12,0.003495,-1.298559552,0.531927402,0.143028101,-0.51233751,2.4,,,
47,0,277.3463539,0.706279777,12,0.003495,-0.899423135,0.619488878,0.385360329,-0.485040088,2.4,,,
