NOTE #,SECTOR,RAD DIST,ANGLE (RAD),DIAMETER,SECTOR DENSITY,angleadjusted,radnorm,xc,yc,radcol,,radmax,1041.024241,
1,2,1041.024241,2.977942139,22.63189888,0.00838389,1.372942139,1,0.196565836,0.980490628,3.233128411,,diameter_scale,7,<-- manual choice to match picture of dish!
2,2,1008.507742,3.147124839,20.96650696,0.00838389,1.542124839,0.968764897,0.027772125,0.968366736,2.99521528,,startangle,-1.605,<-- manual choice to match picture of dish!
3,2,1031.061075,2.908866629,23.1117897,0.00838389,1.303866629,0.990429458,0.261246684,0.955353694,3.301684243,,,,
4,2,1008.971577,3.244841331,22.85931587,0.00838389,1.639841331,0.969210454,-0.066865983,0.966901155,3.265616553,,,,
5,2,1003.893899,3.194739493,23.34765434,0.00838389,1.589739493,0.964332875,-0.018266425,0.964159858,3.335379192,,,,
6,2,1016.981714,2.954111731,24.31831741,0.00838389,1.349111731,0.976904931,0.214795316,0.952998539,3.474045345,,,,
7,2,999.3363383,3.051352314,23.99107933,0.00838389,1.446352314,0.959954916,0.119152546,0.952531423,3.427297047,,,,
8,2,1027.973128,3.410882958,18.9386158,0.00838389,1.805882958,0.987463199,-0.230007072,0.960302201,2.705516543,,,,
9,2,1002.407063,3.35239713,21.58415222,0.00838389,1.74739713,0.962904631,-0.169167195,0.947928156,3.083450317,,,,
10,2,978.6793737,3.10044746,21.80032921,0.00838389,1.49544746,0.940111992,0.070769364,0.937444534,3.114332744,,,,
11,2,976.7564235,3.215577891,15.40095425,0.00838389,1.610577891,0.938264821,-0.037315798,0.937522483,2.200136321,,,,
12,2,965.6443118,3.166010803,16.67776871,0.00838389,1.561010803,0.927590611,0.009076815,0.9275462,2.382538387,,,,
13,2,951.0105175,3.029014076,8.334073067,0.00838389,1.424014076,0.913533499,0.133609524,0.903710102,1.190581867,,,,
14,2,957.4487699,2.986620141,12.11644173,0.00838389,1.381620141,0.919718035,0.172952831,0.903309793,1.730920247,,,,
15,2,979.4919159,3.413920686,22.0972023,0.00838389,1.808920686,0.940892514,-0.221938035,0.914342514,3.156743186,,,,
16,2,971.4618292,3.454016871,11.32963753,0.00838389,1.849016871,0.933178874,-0.256292964,0.897294114,1.618519647,,,,
17,2,930.3836786,3.357728034,8.763203621,0.00838389,1.752728034,0.893719513,-0.161700436,0.878969589,1.251886232,,,,
