amount,date,,
920,1/1/07,,
550,3/1/07,,
620,4/1/07,,
518,4/9/07,,
462,4/19/07,,
448,5/20/07,,
321,6/17/07,,
327,7/20/07,,
328,8/15/07,,
276,9/15/07,,
244,10/20/07,,
260,12/2/07,,
232,1/14/08,,
300,2/20/08,,
317,4/2/08,,
297,5/28/08,,
357,7/1/08,,
375,8/15/08,,
430,9/15/08,,
603,11/12/08,,
660,12/1/08,,
1063,1/23/09,,
820,2/18/09,,
1166,3/9/09,,
1026,4/1/09,,
992,4/22/09,,
772,5/13/09,,
700,6/2/09,,
544,6/24/09,,
475,7/19/09,,
406,8/5/09,,
311,8/26/09,,
280,9/17/09,,
159,10/8/09,,
147,10/15/09,,
159,11/5/09,,
230,12/5/09,,
232,12/31/09,,
411,4/3/10,,
427,5/3/10,,
571,6/28/10,,
691,8/16/10,,
766,8/17/10,,
758,9/30/10,,
1238,11/16/10,,
1440,12/10/10,,
1740,2/10/11,,
2690,3/3/11,,
2028,3/24/11,,
1716,4/13/11,,
1364,5/4/11,,
1175,6/1/11,,
835,6/16/11,,
826,6/20/11,,
779,7/27/11,,
653,8/18/11,,
778,12/27/11,,
1324,4/1/12,,
1415,5/14/12,,
2021,6/27/12,,
1971,8/13/12,,
2545,9/12/12,,
3001,10/16/12,,
2748,11/30/12,,
2470,12/13/12,,
2023,1/3/13,,
1671,1/24/13,,
1271,2/14/13,,
1145,3/7/13,,
998,3/28/13,,
893,4/18/13,,
775,5/10/13,,
805,5/27/13,,
1093,7/29/13,,
1795,11/3/13,,
2495,2/1/14,,
2974,4/7/14,,
2507,4/28/14,,
1905,5/28/14,,
1925,7/18/14,,
1680,9/14/14,,
1680,11/3/14,,
1654,12/24/14,,
2345,1/23/15,,
2135,2/27/15,,
2000,3/11/15,,
1200,4/1/15,,
1200,4/22/15,,
1375,5/13/15,,
1395,6/1/15,,
1340,6/23/15,,
1201,8/13/15,,
1222,9/3/15,,
1240,9/29/15,,
1300,10/29/15,,
1231,11/19/15,,
1432,1/27/16,,
2231,4/4/16,,
2449,5/11/16,,
1900,6/14/16,,
1300,9/7/16,,
1085,12/6/16,,
1075,3/2/17,,
