id,Team.Name,City,Country,lon,lat,
1,British_Columbia,Vancouver,CANADA,-123.1207375,49.2827291,
2,Cadets2Vets,Tacoma,UNITED STATES,-122.4442906,47.2528768,
3,iTesla-SoundBio,Seattle,UNITED STATES,-122.3320708,47.6062095,
4,Washington,Seattle,UNITED STATES,-122.3320708,47.6062095,
5,Stanford-Brown,Moffett Field,UNITED STATES,-122.0540996,37.4112691,
6,UCSC,Santa Cruz,UNITED STATES,-122.0307963,36.9741171,
7,USNA_Annapolis,Washington,UNITED STATES,-120.7401385,47.7510741,
8,ULaVerne_Collab,La Verne,UNITED STATES,-117.773235,34.100854,
9,TP-CC_San_Diego,La Jolla,UNITED STATES,-117.2712717,32.8328112,
10,UC_San_Diego,La Jolla,UNITED STATES,-117.2712717,32.8328112,
11,CCA_San_Diego,San Diego,UNITED STATES,-117.1610838,32.715738,
12,Calgary,Calgary,CANADA,-114.0708459,51.0486151,
13,UAlberta,Edmonton,CANADA,-113.4909267,53.544389,
14,UrbanTundra_Edmonton,Edmonton ,CANADA,-113.4909267,53.544389,
15,Lethbridge,Lethbridge,CANADA,-112.84184,49.69349,
16,Lethbridge_HS,Lethbridge,CANADA,-112.84184,49.69349,
17,Arizona_State,Tempe,UNITED STATES,-111.9400054,33.4255104,
18,Tec-Chihuahua,Chihuahua,MEXICO,-106.0691004,28.6329957,
19,CU-Boulder,Boulder,UNITED STATES,-105.2705456,40.0149856,
20,CSU_Fort_Collins,Fort Collins,UNITED STATES,-105.084423,40.5852602,
21,TecMonterrey_GDA,Zapopan,MEXICO,-103.416501,20.6719563,
22,LUBBOCK_TTU,Lubbock,UNITED STATES,-101.8551665,33.5778631,
23,TecCEM,Atizap·n de Zaragoza,MEXICO,-99.2653128,19.5679989,
24,Austin_UTexas,Austin,UNITED STATES,-97.7430608,30.267153,
25,Austin_UTexas_LASA,Austin,UNITED STATES,-97.7430608,30.267153,
26,UNebraska-Lincoln,Lincoln,UNITED STATES,-96.6851982,40.8257625,
27,Rice,Houston,UNITED STATES,-95.3698028,29.7604267,
28,CAPS_Kansas,Overland Park,UNITED STATES,-94.6707917,38.9822282,
29,Waterloo,Waterloo,CANADA,-92.3425775,42.492786,
30,Missouri_Rolla,Rolla,UNITED STATES,-91.7715303,37.948544,
31,UIOWA,Iowa City,UNITED STATES,-91.5301683,41.6611277,
32,WashU_StLouis,St Louis,UNITED STATES,-90.1994042,38.6270025,
33,UIUC_Illinois,Urbana,UNITED STATES,-88.2072697,40.1105875,
34,WLC-Milwaukee,Milwaukee,UNITED STATES,-87.9064736,43.0389025,
35,Northwestern,Evanston,UNITED STATES,-87.6876969,42.0450722,
36,UChicago,Chicago,UNITED STATES,-87.6297982,41.8781136,
37,RHIT,Terre Haute,UNITED STATES,-87.4139092,39.4667034,
38,Purdue,West Lafayette,UNITED STATES,-86.9080655,40.4258686,
39,McMaster_II,Hamilton,CANADA,-84.5613355,39.3995008,
40,McMasterU,Hamilton ,CANADA,-84.5613355,39.3995008,
41,MSU-Michigan,East Lansing,UNITED STATES,-84.4838654,42.7369792,
42,Emory,Atlanta,UNITED STATES,-84.3879824,33.7489954,
43,Georgia_State,Atlanta,UNITED STATES,-84.3879824,33.7489954,
44,FSU,Tallahassee,UNITED STATES,-84.2807329,30.4382559,
45,US_AFRL_CarrollHS,Dayton,UNITED STATES,-84.1916069,39.7589478,
46,Lambert_GA,Suwanee,UNITED STATES,-84.0712997,34.0514898,
47,UT-Knoxville,Knoxville,UNITED STATES,-83.9207392,35.9606384,
48,Michigan,Ann Arbor,UNITED STATES,-83.7430378,42.2808256,
49,Michigan_Software,Ann Arbor,UNITED STATES,-83.7430378,42.2808256,
50,RPI_Troy_NY,Troy,UNITED STATES,-83.1497751,42.6064095,
51,Dartmouth,Hanover,UNITED STATES,-83.0103409,40.119413,
52,UNC-Asheville,Asheville,UNITED STATES,-82.5514869,35.5950581,
53,UFlorida,Gainesville,UNITED STATES,-82.3248262,29.6516344,
54,Gaston_Day_School,Gastonia,UNITED STATES,-81.1873005,35.262082,
55,U_of_Guelph,Guelph,CANADA,-80.2481666,43.5448048,
56,Florida_Atlantic,Boca Raton,UNITED STATES,-80.1289321,26.3683064,
57,Pittsburgh,Pittsburgh,UNITED STATES,-79.9958864,40.4406248,
58,Sydney_Australia,Darlington ,AUSTRALIA,-79.8761741,34.2998762,
59,Toronto,Toronto,CANADA,-79.3831843,43.653226,
60,East_Chapel_Hill,Chapel Hill,UNITED STATES,-79.0558445,35.9131996,
61,Duke,Durham,UNITED STATES,-78.898619,35.9940329,
62,Virginia,Charlottesville,UNITED STATES,-78.4766781,38.0293059,
63,UNBC-Canada,Prince George,CANADA,-77.2856305,37.2220383,
65,UMaryland,College Park,UNITED STATES,-76.93776,38.9896967,
66,York,York,UNITED KINGDOM,-76.727745,39.9625984,
67,William_and_Mary,Williamsburg,UNITED STATES,-76.7074571,37.2707022,
68,Baltimore_Bio-Crew,Baltimore,UNITED STATES,-76.6121893,39.2903848,
69,Cornell,Ithaca ,UNITED STATES,-76.5018807,42.4439614,
70,uOttawa,Ottawa,CANADA,-75.6971931,45.4215296,
71,Penn,Philadelphia,UNITED STATES,-75.1652215,39.9525839,
72,Princeton,Princeton,UNITED STATES,-74.6514481,40.3439888,
73,Delaware,Newark,UNITED STATES,-74.1744624,40.6895314,
74,ColumbiaNYC,New York,UNITED STATES,-74.0059728,40.7127753,
