"","X","geplaatst","omschrijving","kunstenaar","locatie","wijk.buurt","materiaal","image","imageURL","type"
"1","Centrum_1","1550 (circa)","Hoop op een beter leven","de Nole, Colijn Colijn de Nole","Sint Olofskapel (ingang voormalige), Zeedijk","Oudezijde","zandsteen","//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Sint_Olofskapel_of_Oudezijds_Kapel_Zeedijk2A_Amsterdam.jpg/150px-Sint_Olofskapel_of_Oudezijds_Kapel_Zeedijk2A_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/4/45/Sint_Olofskapel_of_Oudezijds_Kapel_Zeedijk2A_Amsterdam.jpg","NA"
"2","Centrum_10","1725 [3]","gevelsteen Duynsigt","onbekend","Zeedijk 82","Oudezijde","steen","//upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Duynsigt_Zeedijk82_Amsterdam.jpg/150px-Duynsigt_Zeedijk82_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a8/Duynsigt_Zeedijk82_Amsterdam.jpg","NA"
"3","Centrum_100","1976","Sirene","Jonk, Nic Nic Jonk","Anne Frankstraat",NA,"steen","//upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Sculptuur_IJtunnel%2C_Amsterdam.jpg/150px-Sculptuur_IJtunnel%2C_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7f/Sculptuur_IJtunnel%2C_Amsterdam.jpg","NA"
"4","Centrum_101","1977","Anne Frank","Andriessen, Mari Mari Andriessen","Westermarkt","Grachtengordel","brons","//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Amsterdam_Anne_Frank.jpg/150px-Amsterdam_Anne_Frank.jpg","https://upload.wikimedia.org/wikipedia/commons/2/27/Amsterdam_Anne_Frank.jpg","NA"
"5","Centrum_102","1977","Vrouw met stola","Hont, Pieter d' Pieter d' Hont","Singel / Spui","Nieuwezijde","brons","//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Vrouw_met_stola_dHont.jpg/150px-Vrouw_met_stola_dHont.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f3/Vrouw_met_stola_dHont.jpg","NA"
"6","Centrum_103","1977","Lopende bruine beer","Kaas, Jaap Jaap Kaas (Stichting)","Artis","Plantage","brons","//upload.wikimedia.org/wikipedia/commons/thumb/8/84/Artis_lopende_bruine_beer_1977_Stichting_Jaap_Kaas.JPG/150px-Artis_lopende_bruine_beer_1977_Stichting_Jaap_Kaas.JPG","https://upload.wikimedia.org/wikipedia/commons/8/84/Artis_lopende_bruine_beer_1977_Stichting_Jaap_Kaas.JPG","NA"
"7","Centrum_104","1977","Lopende ijsbeer","Kaas, Jaap Jaap Kaas (Stichting)","Artis","Plantage","brons","//upload.wikimedia.org/wikipedia/commons/thumb/5/58/Artis_lopende_IJsbeer_1977.JPG/150px-Artis_lopende_IJsbeer_1977.JPG","https://upload.wikimedia.org/wikipedia/commons/5/58/Artis_lopende_IJsbeer_1977.JPG","NA"
"8","Centrum_105","1977","Kokadorus
(Meyer Linnewiel)","Eeghen, Erica van Erica van Eeghen","Amstelveld","Grachtengordel","brons","//upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Kokadorus.jpg/150px-Kokadorus.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c3/Kokadorus.jpg","NA"
"9","Centrum_106","1977","Zonder titel","Karssen, Harry Harry Karssen","Politiebureau Lijnbaansgracht","Lijnbaansgracht 219","steenachtig","//upload.wikimedia.org/wikipedia/commons/thumb/7/78/Politiebureau_Lijnbaansgracht_219_foto_3.JPG/150px-Politiebureau_Lijnbaansgracht_219_foto_3.JPG","https://upload.wikimedia.org/wikipedia/commons/7/78/Politiebureau_Lijnbaansgracht_219_foto_3.JPG","NA"
"10","Centrum_107","1979","Prins Hendrik","Stracké, Frans Frans Stracké","Prins Hendrikkade",NA,"brons, beton","//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Statue.Prinshendrik.jpg/150px-Statue.Prinshendrik.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d1/Statue.Prinshendrik.jpg","NA"
"11","Centrum_108","1980","Nieuwmarktrellen","Sierhuis, Jan Jan Sierhuis","Metrostation Nieuwmarkt","Lastage","beton, hout, verf en dergelijke","//upload.wikimedia.org/wikipedia/commons/thumb/6/62/Nieuwmarkt_metro_2.jpg/150px-Nieuwmarkt_metro_2.jpg","https://upload.wikimedia.org/wikipedia/commons/6/62/Nieuwmarkt_metro_2.jpg","NA"
"12","Centrum_109","1980","Visserman","Barbiers, Joost Joost Barbiers","Kadijksplein","Kadijken","kalksteen","//upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Visserman%2C_Amsterdam.jpg/150px-Visserman%2C_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2d/Visserman%2C_Amsterdam.jpg","NA"
"13","Centrum_11","1813 [4]","gevelsteen Oranje-Nassau Kazerne","onbekend","Sarphatistraat 600-660","Grachtengordel","steen","//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Wapen_voormalige_Oranje-Nassau_Kazerne_Sarphatistraat_Amsterdam.jpg/150px-Wapen_voormalige_Oranje-Nassau_Kazerne_Sarphatistraat_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/6/6d/Wapen_voormalige_Oranje-Nassau_Kazerne_Sarphatistraat_Amsterdam.jpg","NA"
